,_version_,content,content_raw,id,like,name,profile_image,retweet_count,time,tweet_image,category
594,1.56065E+18,"Tap Mastercard-issued credit card to pay for bus, train fares https://t.co/3puIcqDh6J https://t.co/aP9Vnpffzl","Tap Mastercard-issued credit card to pay for bus, train fares https://t.co/3puIcqDh6J https://t.co/aP9Vnpffzl",8.36424E+17,14,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[20],2017-02-28T03:54:33Z,no image,
530,1.56065E+18,"RT @singapolitics: Foo Mee Har: For 5 consecutive years, total growth in expenditure has outstripped growth in operating revenue","RT @singapolitics: Foo Mee Har: For 5 consecutive years, total growth in expenditure has outstripped growth in operating revenue",8.36517E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[3],2017-02-28T10:04:34Z,no image,
581,1.56065E+18,RT @singapolitics: Architects (Amendment) Bill passed by Parliament. 2nd reading of Early Childhood Development Centres Bill now,RT @singapolitics: Architects (Amendment) Bill passed by Parliament. 2nd reading of Early Childhood Development Centres Bill now,8.36446E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[4],2017-02-28T05:21:07Z,no image,
707,1.56065E+18,"RT @BBCNews: ""I'm in shock"" - Olivia Leathley who fled Tunisia attack on finding out police didn't attend straight away https://t.co/pKZHzw?€?","RT @BBCNews: ""I'm in shock"" - Olivia Leathley who fled Tunisia attack on finding out police didn't attend straight away https://t.co/pKZHzw?€?",8.36531E+17,0,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[70],2017-02-28T10:59:31Z,no image,
448,1.56065E+18,RT @stbusinessdesk: US dollar jumps on Fed jolt as Trump speech looms https://t.co/rlprH46Zek,RT @stbusinessdesk: US dollar jumps on Fed jolt as Trump speech looms https://t.co/rlprH46Zek,8.36746E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[2],2017-03-01T01:10:50Z,no image,
453,1.56065E+18,Off the bucket list: 99-year-old Dutch woman arrested and placed in jail cell to fulfil life-long dream?€? https://t.co/Vw308aJy12,Off the bucket list: 99-year-old Dutch woman arrested and placed in jail cell to fulfil life-long dream?€? https://t.co/Vw308aJy12,8.36738E+17,161,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[410],2017-03-01T00:41:15Z,no image,
228,1.56065E+18,"Trump strikes an aspirational tone, calls for unity: https://t.co/uJV4RbG2AF","Trump strikes an aspirational tone, calls for unity: https://t.co/uJV4RbG2AF",8.36775E+17,293,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[96],2017-03-01T03:09:39Z,no image,
352,1.56065E+18,"How will Apple's iPhone celebrate its 10th anniversary? With a curved screen
https://t.co/Zapoutsf8Y","How will Apple's iPhone celebrate its 10th anniversary? With a curved screen
https://t.co/Zapoutsf8Y",8.36486E+17,54,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[41],2017-02-28T08:00:09Z,no image,
728,1.56065E+18,.@BBCHARDtalk spoke exclusively to Singapore leader @leehsienloong - Catch the full interview airing 1 March.?€? https://t.co/S2q6xswuBO,.@BBCHARDtalk spoke exclusively to Singapore leader @leehsienloong - Catch the full interview airing 1 March.?€? https://t.co/S2q6xswuBO,8.3641E+17,88,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[66],2017-02-28T02:56:29Z,no image,
212,1.56065E+18,Hype vs. reality when it comes to AI: Venture capitalists weigh in at #WSJCIO https://t.co/D82OeiZ1gC via @ciojournal,Hype vs. reality when it comes to AI: Venture capitalists weigh in at #WSJCIO https://t.co/D82OeiZ1gC via @ciojournal,8.36818E+17,26,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[24],2017-03-01T06:00:05Z,no image,
79,1.56065E+18,Democratic women in Congress wear white to the #TrumpAddress https://t.co/y2wfW8PMin https://t.co/C68mkMT1q6,Democratic women in Congress wear white to the #TrumpAddress https://t.co/y2wfW8PMin https://t.co/C68mkMT1q6,8.36756E+17,2718,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[840],2017-03-01T01:50:56Z,no image,
148,1.56065E+18,Some Democrats are planning to bring immigrants as guests to President Trump's speech tonight?€? https://t.co/kIqz2OFaR6,Some Democrats are planning to bring immigrants as guests to President Trump's speech tonight?€? https://t.co/kIqz2OFaR6,8.36652E+17,945,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[228],2017-02-28T19:00:02Z,no image,
302,1.56065E+18,Are you burnt out? Take the test: https://t.co/xJTjp47TeF,Are you burnt out? Take the test: https://t.co/xJTjp47TeF,8.36642E+17,81,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[54],2017-02-28T18:17:38Z,no image,
628,1.56065E+18,".@POTUS: ""Our current immigration system costs America taxpayers many billions of dollars a year""

 https://t.co/mxbztcDvZ8 #JointAddress",".@POTUS: ""Our current immigration system costs America taxpayers many billions of dollars a year""

 https://t.co/mxbztcDvZ8 #JointAddress",8.36767E+17,122,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[58],2017-03-01T02:36:28Z,no image,
777,1.56065E+18,What's up with Kidman's hands? https://t.co/8gwRzZ0xPt,What's up with Kidman's hands? https://t.co/8gwRzZ0xPt,8.36179E+17,214,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[63],2017-02-27T11:41:15Z,no image,
506,1.56065E+18,RT @singapolitics: Desmond Choo: Helping young workers no longer about massively sophisticated blueprint. Speed of change defeats best of i?€?,RT @singapolitics: Desmond Choo: Helping young workers no longer about massively sophisticated blueprint. Speed of change defeats best of i?€?,8.36538E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[1],2017-02-28T11:28:00Z,no image,
342,1.56065E+18,Trump to sign executive orders on water regulation and black colleges initiative  https://t.co/LfqREn4B25,Trump to sign executive orders on water regulation and black colleges initiative  https://t.co/LfqREn4B25,8.36521E+17,64,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[51],2017-02-28T10:19:34Z,no image,
485,1.56065E+18,Only next-of-kin can claim body of #KimJongNam Malaysia's police chief reiterates https://t.co/9hioPBGDrH https://t.co/EeXCBteCFi,Only next-of-kin can claim body of #KimJongNam Malaysia's police chief reiterates https://t.co/9hioPBGDrH https://t.co/EeXCBteCFi,8.36595E+17,10,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[16],2017-02-28T15:11:49Z,no image,
711,1.56065E+18,Meet the Arab emojis https://t.co/EBwIZOBDsY,Meet the Arab emojis https://t.co/EBwIZOBDsY,8.36512E+17,196,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[105],2017-02-28T09:44:41Z,no image,
133,1.56065E+18,Sen. Rand Paul: ?€?We want to completely repeal Obamacare?€? https://t.co/IAwTy5eEhC https://t.co/rAZMFOpqzx,Sen. Rand Paul: ?€?We want to completely repeal Obamacare?€? https://t.co/IAwTy5eEhC https://t.co/rAZMFOpqzx,8.36696E+17,190,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[116],2017-02-28T21:54:41Z,no image,
703,1.56065E+18,Kellyanne Conway sparks media storm from Oval Office sofa https://t.co/9oLZYksyjj,Kellyanne Conway sparks media storm from Oval Office sofa https://t.co/9oLZYksyjj,8.36539E+17,361,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[235],2017-02-28T11:30:46Z,no image,
311,1.56065E+18,"For updates from today's #WSJCIO Annual Meeting, follow @CIOJournal https://t.co/o8bAq2iCUu","For updates from today's #WSJCIO Annual Meeting, follow @CIOJournal https://t.co/o8bAq2iCUu",8.36616E+17,16,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[13],2017-02-28T16:35:05Z,no image,
722,1.56065E+18,Libya exposed as an epicentre for migrant child abuse https://t.co/Ga0vZbLBax,Libya exposed as an epicentre for migrant child abuse https://t.co/Ga0vZbLBax,8.36458E+17,134,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[202],2017-02-28T06:07:11Z,no image,
629,1.56065E+18,"RT @BBCWorld: Trump at the #JointSession: Our obligation is to serve, defend and protect the United States https://t.co/nIl8iuy7rE https://?€?","RT @BBCWorld: Trump at the #JointSession: Our obligation is to serve, defend and protect the United States https://t.co/nIl8iuy7rE https://?€?",8.36766E+17,0,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[49],2017-03-01T02:30:53Z,https://pbs.twimg.com/media/C5zJwoKVMAA_L87.jpg,
0,1.56065E+18,Conservatives say they're tired of seeing Obamacare drafts via leaks https://t.co/mpayBKr9F9 https://t.co/TlYo2qLg5v,Conservatives say they're tired of seeing Obamacare drafts via leaks https://t.co/mpayBKr9F9 https://t.co/TlYo2qLg5v,8.36848E+17,27,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[18],2017-03-01T08:00:01Z,no image,
316,1.56065E+18,"Natalie Massenet, who built Net-a-Porter into a leading e-commerce site, joins forces with Jos?? Neves of Farfetch https://t.co/DXEGLMKuuR","Natalie Massenet, who built Net-a-Porter into a leading e-commerce site, joins forces with Jos?? Neves of Farfetch https://t.co/DXEGLMKuuR",8.36606E+17,42,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[26],2017-02-28T15:58:04Z,no image,
706,1.56065E+18,Coroner delivers his findings at inquest into deaths of 30 British tourists killed in Tunisia attack in 2015?€? https://t.co/ddyBPORET9,Coroner delivers his findings at inquest into deaths of 30 British tourists killed in Tunisia attack in 2015?€? https://t.co/ddyBPORET9,8.36533E+17,50,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[27],2017-02-28T11:04:36Z,no image,
547,1.56065E+18,RT @singapolitics: Liang Eng Hwa: State land could be leased out on short-term leases with temporary built-up structure as low cost space f?€?,RT @singapolitics: Liang Eng Hwa: State land could be leased out on short-term leases with temporary built-up structure as low cost space f?€?,8.36489E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[1],2017-02-28T08:11:25Z,no image,
872,1.56065E+18,2 groups put out statements about their clash inside a Minneapolis museum https://t.co/w10b2lRiYx,2 groups put out statements about their clash inside a Minneapolis museum https://t.co/w10b2lRiYx,8.3667E+17,100,nytimes,https://pbs.twimg.com/profile_images/758384037589348352/KB3RFwFm_normal.jpg,[54],2017-02-28T20:09:02Z,no image,
532,1.56065E+18,"RT @singapolitics: Daniel Goh: We seem to be still focused on internationalisation, but do we have a plan if nationalistic protectionism ta?€?","RT @singapolitics: Daniel Goh: We seem to be still focused on internationalisation, but do we have a plan if nationalistic protectionism ta?€?",8.36505E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[4],2017-02-28T09:14:01Z,no image,
477,1.56065E+18,Russia and Britain hold high-level military talks in Moscow to ease tensions https://t.co/1V1idq5wfm https://t.co/leynsQ0gHx,Russia and Britain hold high-level military talks in Moscow to ease tensions https://t.co/1V1idq5wfm https://t.co/leynsQ0gHx,8.36629E+17,2,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[2],2017-02-28T17:29:24Z,no image,
404,1.56065E+18,New York food blogger exposed for cheating in half-marathon https://t.co/Jvs8MnXZRd https://t.co/NaL8W4W3zj,New York food blogger exposed for cheating in half-marathon https://t.co/Jvs8MnXZRd https://t.co/NaL8W4W3zj,8.36835E+17,25,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[40],2017-03-01T07:05:01Z,no image,
172,1.56065E+18,Members of the Muslim community unite to help fix vandalized Jewish cemeteries https://t.co/qihOrg9LZh https://t.co/i00LgdPsjP,Members of the Muslim community unite to help fix vandalized Jewish cemeteries https://t.co/qihOrg9LZh https://t.co/i00LgdPsjP,8.36596E+17,1605,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[635],2017-02-28T15:15:01Z,no image,
125,1.56065E+18,A California plane crash survivor was found in the bedroom of the home the aircraft hit https://t.co/4fSv2HlEQt https://t.co/JBDnRBe4yh,A California plane crash survivor was found in the bedroom of the home the aircraft hit https://t.co/4fSv2HlEQt https://t.co/JBDnRBe4yh,8.36707E+17,218,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[152],2017-02-28T22:36:00Z,no image,
394,1.56065E+18,Japanese automotive supplier Takata pleaded guilty to criminal wrongdoing and agreed to pay $1 billion in penalties https://t.co/9IVXp6AI1n,Japanese automotive supplier Takata pleaded guilty to criminal wrongdoing and agreed to pay $1 billion in penalties https://t.co/9IVXp6AI1n,8.36375E+17,63,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[79],2017-02-28T00:37:02Z,no image,
420,1.56065E+18,RT @singapolitics: Seah Kian Peng: Introduce periodic water rationing to remind people of the value of water #Budget2017,RT @singapolitics: Seah Kian Peng: Introduce periodic water rationing to remind people of the value of water #Budget2017,8.36806E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[3],2017-03-01T05:11:16Z,no image,
552,1.56065E+18,RT @STsportsdesk: Former @ManUtd players Quinton Fortune and Ronnie Johnsen signing autographs and posing for pictures with fans at Plaza S?€?,RT @STsportsdesk: Former @ManUtd players Quinton Fortune and Ronnie Johnsen signing autographs and posing for pictures with fans at Plaza S?€?,8.36483E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[11],2017-02-28T07:45:50Z,no image,
903,1.56065E+18,"""The main hope is that the U.S. will be preoccupied with itself and will stop pressuring Russia"" https://t.co/zcLwibUGog","""The main hope is that the U.S. will be preoccupied with itself and will stop pressuring Russia"" https://t.co/zcLwibUGog",8.36583E+17,366,nytimes,https://pbs.twimg.com/profile_images/758384037589348352/KB3RFwFm_normal.jpg,[350],2017-02-28T14:25:04Z,no image,
90,1.56065E+18,RT @AC360: Live coverage of President Trump?€?s first address to Congress is happening now on CNN #TrumpAddress https://t.co/251opo8txN https?€?,RT @AC360: Live coverage of President Trump?€?s first address to Congress is happening now on CNN #TrumpAddress https://t.co/251opo8txN https?€?,8.36746E+17,0,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[30],2017-03-01T01:12:43Z,no image,
939,1.56065E+18,What it was like onstage during the Oscars 2017 best picture mistake https://t.co/ynm7lC1xRP,What it was like onstage during the Oscars 2017 best picture mistake https://t.co/ynm7lC1xRP,8.36478E+17,156,nytimes,https://pbs.twimg.com/profile_images/758384037589348352/KB3RFwFm_normal.jpg,[52],2017-02-28T07:26:35Z,no image,
181,1.56065E+18,@flashpack may we have permission to feature your photo? Verify here: https://t.co/bT9jHMplXu,@flashpack may we have permission to feature your photo? Verify here: https://t.co/bT9jHMplXu,8.3657E+17,2,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[3],2017-02-28T13:32:54Z,no image,
274,1.56065E+18,Russia and China block Syrian resolution targeting people tied to the production and delivery of chemical weapons https://t.co/RKLYhOgbBk,Russia and China block Syrian resolution targeting people tied to the production and delivery of chemical weapons https://t.co/RKLYhOgbBk,8.36692E+17,47,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[74],2017-02-28T21:40:04Z,no image,
895,1.56065E+18,"The Obamas put food front and center, but the Trumps haven't signaled how they'll eat, entertain or set an example. https://t.co/XVmXZVbuiC","The Obamas put food front and center, but the Trumps haven't signaled how they'll eat, entertain or set an example. https://t.co/XVmXZVbuiC",8.36604E+17,240,nytimes,https://pbs.twimg.com/profile_images/758384037589348352/KB3RFwFm_normal.jpg,[66],2017-02-28T15:50:03Z,no image,
69,1.56065E+18,"Pres. Trump: ""We are reminded of our nation's path toward civil rights and the work that still remains to be done"" https://t.co/fMUWKbgTMO","Pres. Trump: ""We are reminded of our nation's path toward civil rights and the work that still remains to be done"" https://t.co/fMUWKbgTMO",8.36762E+17,148,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[75],2017-03-01T02:15:38Z,no image,
291,1.56065E+18,"If Trump wants to move his legislative agenda through Congress, he will have to quash a conservative revolt
https://t.co/NSCKnNjzVy","If Trump wants to move his legislative agenda through Congress, he will have to quash a conservative revolt
https://t.co/NSCKnNjzVy",8.36661E+17,93,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[91],2017-02-28T19:36:20Z,no image,
131,1.56065E+18,"Jewish centers and schools in US and Canada have received 100 bomb threats in 2017, says JCC Assoc. of North America https://t.co/7UMT90zqqG","Jewish centers and schools in US and Canada have received 100 bomb threats in 2017, says JCC Assoc. of North America https://t.co/7UMT90zqqG",8.36699E+17,287,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[350],2017-02-28T22:06:00Z,no image,
300,1.56065E+18,Trump proposes cutting the State Department budget by 37% to help pay for an increase in defense spending https://t.co/jG83z6BhC4,Trump proposes cutting the State Department budget by 37% to help pay for an increase in defense spending https://t.co/jG83z6BhC4,8.36647E+17,177,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[176],2017-02-28T18:40:31Z,no image,
424,1.56065E+18,"Main themes of Donald Trump's maiden speech to Congress #JointAddress #donaldtrump
https://t.co/hC7KtHP1or https://t.co/UQM0seOjvh","Main themes of Donald Trump's maiden speech to Congress #JointAddress #donaldtrump
https://t.co/hC7KtHP1or https://t.co/UQM0seOjvh",8.36791E+17,5,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[0],2017-03-01T04:11:34Z,no image,
326,1.56065E+18,Trump says a stronger economy and a surge in tax collections will pay for higher defense spending: https://t.co/gknJ50Dgdu,Trump says a stronger economy and a surge in tax collections will pay for higher defense spending: https://t.co/gknJ50Dgdu,8.36575E+17,85,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[67],2017-02-28T13:52:46Z,no image,
144,1.56065E+18,This 71-year-old woman lost around 180 pounds after having a large ovarian cyst surgically removed?€? https://t.co/R3FH6aTDd0,This 71-year-old woman lost around 180 pounds after having a large ovarian cyst surgically removed?€? https://t.co/R3FH6aTDd0,8.36665E+17,252,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[129],2017-02-28T19:50:51Z,no image,
423,1.56065E+18,"Taiwan body to probe Kuomintang crackdown 
https://t.co/LdL1oivCc3 https://t.co/bWYdOgE4sU","Taiwan body to probe Kuomintang crackdown 
https://t.co/LdL1oivCc3 https://t.co/bWYdOgE4sU",8.36802E+17,3,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[3],2017-03-01T04:54:19Z,no image,
580,1.56065E+18,"RT @singapolitics: Tan Chuan-Jin: Today, parents of over 165,000 children entrust their children to 1,800 child care centres and kindergart?€?","RT @singapolitics: Tan Chuan-Jin: Today, parents of over 165,000 children entrust their children to 1,800 child care centres and kindergart?€?",8.36446E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[6],2017-02-28T05:21:22Z,no image,
135,1.56065E+18,"For the first time in 146 years of record-keeping, Chicago hasn't measured even a dusting of snow in Jan. and Feb. https://t.co/ZjvdGDST4c","For the first time in 146 years of record-keeping, Chicago hasn't measured even a dusting of snow in Jan. and Feb. https://t.co/ZjvdGDST4c",8.36693E+17,586,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[586],2017-02-28T21:40:19Z,no image,
450,1.56065E+18,Government will help firms seize opportunities: S. Iswaran https://t.co/xhhLyZq9QR https://t.co/nCyWl1rcw6,Government will help firms seize opportunities: S. Iswaran https://t.co/xhhLyZq9QR https://t.co/nCyWl1rcw6,8.36743E+17,2,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[3],2017-03-01T00:58:55Z,no image,
164,1.56065E+18,President Trump says he believes former President Obama is behind the leaks within his administration?€? https://t.co/LLT791GwvF,President Trump says he believes former President Obama is behind the leaks within his administration?€? https://t.co/LLT791GwvF,8.36613E+17,731,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[480],2017-02-28T16:25:01Z,no image,
28,1.56065E+18,"RT @CNNPolitics: Former Gov. Beshear: ""President Trump also needs to understand that people may disagree with him from time to time"" https:?€?","RT @CNNPolitics: Former Gov. Beshear: ""President Trump also needs to understand that people may disagree with him from time to time"" https:?€?",8.36782E+17,0,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[250],2017-03-01T03:36:24Z,no image,
773,1.56065E+18,"This is what was said during the best picture #Oscars mix-up

https://t.co/EkcKN4vD5s https://t.co/WxAmpnKWNw","This is what was said during the best picture #Oscars mix-up

https://t.co/EkcKN4vD5s https://t.co/WxAmpnKWNw",8.36185E+17,237,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[128],2017-02-27T12:04:13Z,no image,
193,1.56065E+18,A couple who made racist threats at a child's birthday party were sentenced to years in prison?€? https://t.co/Tb2xGxFXQF,A couple who made racist threats at a child's birthday party were sentenced to years in prison?€? https://t.co/Tb2xGxFXQF,8.36546E+17,4448,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[2057],2017-02-28T11:56:54Z,no image,
388,1.56065E+18,"In his prime-time speech to Congress on Tuesday, Trump will call for $20 billion boost in current military spending https://t.co/y9Ni1hIUmb","In his prime-time speech to Congress on Tuesday, Trump will call for $20 billion boost in current military spending https://t.co/y9Ni1hIUmb",8.36384E+17,98,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[47],2017-02-28T01:15:07Z,no image,
852,1.56065E+18,"RT @shearm: If your head is spinning now, you?€?re not alone. @realDonaldTrump is open to legal status for illegal immigrants https://t.co/vp?€?","RT @shearm: If your head is spinning now, you?€?re not alone. @realDonaldTrump is open to legal status for illegal immigrants https://t.co/vp?€?",8.36715E+17,0,nytimes,https://pbs.twimg.com/profile_images/758384037589348352/KB3RFwFm_normal.jpg,[415],2017-02-28T23:09:03Z,no image,
169,1.56065E+18,"Colon and rectal cancer rates are rising sharply for Americans under 55, according to a new study https://t.co/ohMuxRUXOU","Colon and rectal cancer rates are rising sharply for Americans under 55, according to a new study https://t.co/ohMuxRUXOU",8.36603E+17,207,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,[228],2017-02-28T15:45:00Z,no image,
705,1.56065E+18,Meet the costume-making devils of north-west Argentina https://t.co/z8D2xQgi07,Meet the costume-making devils of north-west Argentina https://t.co/z8D2xQgi07,8.36533E+17,85,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[40],2017-02-28T11:05:00Z,no image,
